trip_id,source_area,museum_name,museum_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
68,Maddilapalem,VMRDA Visakha Aircraft Museum,Beach Road,9.2,18 min,Rs.89,Rs.140,Rs.198,Low,Rapido Bike,8:30-10:30 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Maddilapalem to VMRDA Visakha Aircraft Museum in Beach Road. ~9.2km. Low traffic expected. Best option: Rapido Bike.
69,NAD Junction,VMRDA Visakha Aircraft Museum,Beach Road,5.9,12 min,Rs.62,Rs.101,Rs.148,Low,Rapido Bike,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from NAD Junction to VMRDA Visakha Aircraft Museum in Beach Road. ~5.9km. Low traffic expected. Best option: Rapido Bike.
70,Seethammadhara,VMRDA Visakha Aircraft Museum,Beach Road,8.7,17 min,Rs.85,Rs.134,Rs.190,Low,Rapido Bike,9:00-11:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Seethammadhara to VMRDA Visakha Aircraft Museum in Beach Road. ~8.7km. Low traffic expected. Best option: Rapido Bike.
71,Jagadamba,VMRDA Visakha Aircraft Museum,Beach Road,6.8,19 min,Rs.69,Rs.112,Rs.162,Moderate,Rapido Bike,10:00 AM-12:00 PM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Jagadamba to VMRDA Visakha Aircraft Museum in Beach Road. ~6.8km. Moderate traffic expected. Best option: Rapido Bike.
72,Asilmetta,VMRDA Visakha Aircraft Museum,Beach Road,5.4,15 min,Rs.58,Rs.95,Rs.141,Moderate,Rapido Bike,9:00-11:30 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Asilmetta to VMRDA Visakha Aircraft Museum in Beach Road. ~5.4km. Moderate traffic expected. Best option: Rapido Bike.
73,Railway Station,VMRDA Visakha Aircraft Museum,Beach Road,6.9,41 min,Rs.70,Rs.113,Rs.164,Very High,Auto,7:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Railway Station to VMRDA Visakha Aircraft Museum in Beach Road. ~6.9km. Very High traffic expected. Best option: Auto.
74,RTC Complex,VMRDA Visakha Aircraft Museum,Beach Road,5.5,33 min,Rs.59,Rs.96,Rs.142,Very High,Auto,8:00-10:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from RTC Complex to VMRDA Visakha Aircraft Museum in Beach Road. ~5.5km. Very High traffic expected. Best option: Auto.
75,Airport,VMRDA Visakha Aircraft Museum,Beach Road,23.6,1h 4min,Rs.204,Rs.313,Rs.414,Moderate,Cab,6:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Airport to VMRDA Visakha Aircraft Museum in Beach Road. ~23.6km. Moderate traffic expected. Best option: Cab.
76,Pendurthi,VMRDA Visakha Aircraft Museum,Beach Road,22.2,1h 29min,Rs.193,Rs.296,Rs.393,High,Cab,7:30-9:30 AM; 5:00-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Pendurthi to VMRDA Visakha Aircraft Museum in Beach Road. ~22.2km. High traffic expected. Best option: Cab.
77,Gopalapatnam,VMRDA Visakha Aircraft Museum,Beach Road,21.8,59 min,Rs.189,Rs.292,Rs.387,Moderate,Cab,8:00-10:00 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Gopalapatnam to VMRDA Visakha Aircraft Museum in Beach Road. ~21.8km. Moderate traffic expected. Best option: Cab.
78,Kurmannapalem,VMRDA Visakha Aircraft Museum,Beach Road,14.9,1h 0min,Rs.134,Rs.209,Rs.284,High,Auto,8:00-9:30 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Kurmannapalem to VMRDA Visakha Aircraft Museum in Beach Road. ~14.9km. High traffic expected. Best option: Auto.
79,Auto Nagar,VMRDA Visakha Aircraft Museum,Beach Road,15.6,43 min,Rs.140,Rs.217,Rs.294,Moderate,Auto,7:30-9:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Auto Nagar to VMRDA Visakha Aircraft Museum in Beach Road. ~15.6km. Moderate traffic expected. Best option: Auto.
80,Steel Plant,VMRDA Visakha Aircraft Museum,Beach Road,22.6,1h 2min,Rs.196,Rs.301,Rs.399,Moderate,Cab,7:00-9:00 AM; 4:30-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Steel Plant to VMRDA Visakha Aircraft Museum in Beach Road. ~22.6km. Moderate traffic expected. Best option: Cab.
81,Scindia,VMRDA Visakha Aircraft Museum,Beach Road,24.0,1h 36min,Rs.207,Rs.318,Rs.420,High,Cab,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Scindia to VMRDA Visakha Aircraft Museum in Beach Road. ~24.0km. High traffic expected. Best option: Cab.
82,One Town,VMRDA Visakha Aircraft Museum,Beach Road,5.8,35 min,Rs.61,Rs.100,Rs.147,Very High,Auto,9:30-11:30 AM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from One Town to VMRDA Visakha Aircraft Museum in Beach Road. ~5.8km. Very High traffic expected. Best option: Auto.
83,Poorna Market,VMRDA Visakha Aircraft Museum,Beach Road,3.3,13 min,Rs.41,Rs.70,Rs.110,High,Rapido Bike,9:30-12:00 PM; 5:30-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Poorna Market to VMRDA Visakha Aircraft Museum in Beach Road. ~3.3km. High traffic expected. Best option: Rapido Bike.
84,RK Beach,VMRDA Visakha Aircraft Museum,Beach Road,2.4,10 min,Rs.34,Rs.59,Rs.96,High,Rapido Bike,6:00-9:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from RK Beach to VMRDA Visakha Aircraft Museum in Beach Road. ~2.4km. High traffic expected. Best option: Rapido Bike.
85,Rushikonda,VMRDA Visakha Aircraft Museum,Beach Road,2.3,5 min,Rs.33,Rs.58,Rs.94,Low,Rapido Bike,7:00-9:30 AM; 4:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Rushikonda to VMRDA Visakha Aircraft Museum in Beach Road. ~2.3km. Low traffic expected. Best option: Rapido Bike.
86,Lawson's Bay,VMRDA Visakha Aircraft Museum,Beach Road,1.5,5 min,Rs.27,Rs.48,Rs.82,Moderate,Rapido Bike,7:30-9:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Lawson's Bay to VMRDA Visakha Aircraft Museum in Beach Road. ~1.5km. Moderate traffic expected. Best option: Rapido Bike.
87,Hanumanthuwaka,VMRDA Visakha Aircraft Museum,Beach Road,17.7,48 min,Rs.157,Rs.242,Rs.326,Moderate,Auto,8:00-10:00 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Hanumanthuwaka to VMRDA Visakha Aircraft Museum in Beach Road. ~17.7km. Moderate traffic expected. Best option: Auto.
88,Arilova,VMRDA Visakha Aircraft Museum,Beach Road,13.6,54 min,Rs.124,Rs.193,Rs.264,High,Auto,8:30-10:30 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Arilova to VMRDA Visakha Aircraft Museum in Beach Road. ~13.6km. High traffic expected. Best option: Auto.
89,Beach Road,VMRDA Visakha Aircraft Museum,Beach Road,2.9,8 min,Rs.38,Rs.65,Rs.104,Moderate,Rapido Bike,6:30-9:00 AM; 5:30-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Beach Road to VMRDA Visakha Aircraft Museum in Beach Road. ~2.9km. Moderate traffic expected. Best option: Rapido Bike.
90,Kailasagiri,VMRDA Visakha Aircraft Museum,Beach Road,2.4,7 min,Rs.34,Rs.59,Rs.96,Moderate,Rapido Bike,7:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Kailasagiri to VMRDA Visakha Aircraft Museum in Beach Road. ~2.4km. Moderate traffic expected. Best option: Rapido Bike.
91,Gajuwaka,Sea Harrier Museum,Beach Road,19.0,1h 16min,Rs.167,Rs.258,Rs.345,High,Auto,8:00-10:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Gajuwaka to Sea Harrier Museum in Beach Road. ~19.0km. High traffic expected. Best option: Auto.
92,Kommadi,Sea Harrier Museum,Beach Road,16.6,45 min,Rs.148,Rs.229,Rs.309,Moderate,Auto,8:30-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Kommadi to Sea Harrier Museum in Beach Road. ~16.6km. Moderate traffic expected. Best option: Auto.
93,Madhurawada,Sea Harrier Museum,Beach Road,15.7,43 min,Rs.141,Rs.218,Rs.296,Moderate,Auto,8:00-10:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Madhurawada to Sea Harrier Museum in Beach Road. ~15.7km. Moderate traffic expected. Best option: Auto.
94,PM Palem,Sea Harrier Museum,Beach Road,12.6,25 min,Rs.116,Rs.181,Rs.249,Low,Auto,8:30-10:00 AM; 6:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from PM Palem to Sea Harrier Museum in Beach Road. ~12.6km. Low traffic expected. Best option: Auto.
95,MVP Colony,Sea Harrier Museum,Beach Road,9.1,25 min,Rs.88,Rs.139,Rs.196,Moderate,Rapido Bike,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from MVP Colony to Sea Harrier Museum in Beach Road. ~9.1km. Moderate traffic expected. Best option: Rapido Bike.
96,Siripuram,Sea Harrier Museum,Beach Road,3.0,12 min,Rs.39,Rs.66,Rs.105,High,Rapido Bike,9:00-11:30 AM; 6:30-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Siripuram to Sea Harrier Museum in Beach Road. ~3.0km. High traffic expected. Best option: Rapido Bike.
97,Dwaraka Nagar,Sea Harrier Museum,Beach Road,6.9,28 min,Rs.70,Rs.113,Rs.164,High,Auto,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Dwaraka Nagar to Sea Harrier Museum in Beach Road. ~6.9km. High traffic expected. Best option: Auto.
98,Maddilapalem,Sea Harrier Museum,Beach Road,8.7,17 min,Rs.85,Rs.134,Rs.190,Low,Rapido Bike,8:30-10:30 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Maddilapalem to Sea Harrier Museum in Beach Road. ~8.7km. Low traffic expected. Best option: Rapido Bike.
99,NAD Junction,Sea Harrier Museum,Beach Road,8.9,18 min,Rs.86,Rs.137,Rs.194,Low,Rapido Bike,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from NAD Junction to Sea Harrier Museum in Beach Road. ~8.9km. Low traffic expected. Best option: Rapido Bike.
100,Seethammadhara,Sea Harrier Museum,Beach Road,7.8,16 min,Rs.77,Rs.124,Rs.177,Low,Rapido Bike,9:00-11:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Seethammadhara to Sea Harrier Museum in Beach Road. ~7.8km. Low traffic expected. Best option: Rapido Bike.
101,Jagadamba,Sea Harrier Museum,Beach Road,5.7,34 min,Rs.61,Rs.98,Rs.146,Very High,Auto,10:00 AM-12:00 PM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Jagadamba to Sea Harrier Museum in Beach Road. ~5.7km. Very High traffic expected. Best option: Auto.
102,Asilmetta,Sea Harrier Museum,Beach Road,3.3,20 min,Rs.41,Rs.70,Rs.110,Very High,Rapido Bike,9:00-11:30 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Asilmetta to Sea Harrier Museum in Beach Road. ~3.3km. Very High traffic expected. Best option: Rapido Bike.
103,Railway Station,Sea Harrier Museum,Beach Road,8.0,32 min,Rs.79,Rs.126,Rs.180,High,Auto,7:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Railway Station to Sea Harrier Museum in Beach Road. ~8.0km. High traffic expected. Best option: Auto.
104,RTC Complex,Sea Harrier Museum,Beach Road,6.6,26 min,Rs.68,Rs.109,Rs.159,High,Auto,8:00-10:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from RTC Complex to Sea Harrier Museum in Beach Road. ~6.6km. High traffic expected. Best option: Auto.
105,Airport,Sea Harrier Museum,Beach Road,19.3,1h 17min,Rs.169,Rs.262,Rs.350,High,Auto,6:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Airport to Sea Harrier Museum in Beach Road. ~19.3km. High traffic expected. Best option: Auto.
106,Pendurthi,Sea Harrier Museum,Beach Road,22.5,1h 1min,Rs.195,Rs.300,Rs.398,Moderate,Cab,7:30-9:30 AM; 5:00-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Pendurthi to Sea Harrier Museum in Beach Road. ~22.5km. Moderate traffic expected. Best option: Cab.
107,Gopalapatnam,Sea Harrier Museum,Beach Road,19.2,52 min,Rs.169,Rs.260,Rs.348,Moderate,Auto,8:00-10:00 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Gopalapatnam to Sea Harrier Museum in Beach Road. ~19.2km. Moderate traffic expected. Best option: Auto.
108,Kurmannapalem,Sea Harrier Museum,Beach Road,20.4,41 min,Rs.178,Rs.275,Rs.366,Low,Cab,8:00-9:30 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Kurmannapalem to Sea Harrier Museum in Beach Road. ~20.4km. Low traffic expected. Best option: Cab.
109,Auto Nagar,Sea Harrier Museum,Beach Road,18.3,1h 13min,Rs.161,Rs.250,Rs.334,High,Auto,7:30-9:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Auto Nagar to Sea Harrier Museum in Beach Road. ~18.3km. High traffic expected. Best option: Auto.
110,Steel Plant,Sea Harrier Museum,Beach Road,20.1,55 min,Rs.176,Rs.271,Rs.362,Moderate,Cab,7:00-9:00 AM; 4:30-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Steel Plant to Sea Harrier Museum in Beach Road. ~20.1km. Moderate traffic expected. Best option: Cab.
111,Scindia,Sea Harrier Museum,Beach Road,21.7,59 min,Rs.189,Rs.290,Rs.386,Moderate,Cab,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Scindia to Sea Harrier Museum in Beach Road. ~21.7km. Moderate traffic expected. Best option: Cab.
112,One Town,Sea Harrier Museum,Beach Road,6.1,17 min,Rs.64,Rs.103,Rs.152,Moderate,Rapido Bike,9:30-11:30 AM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from One Town to Sea Harrier Museum in Beach Road. ~6.1km. Moderate traffic expected. Best option: Rapido Bike.
113,Poorna Market,Sea Harrier Museum,Beach Road,4.5,27 min,Rs.51,Rs.84,Rs.128,Very High,Auto,9:30-12:00 PM; 5:30-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Poorna Market to Sea Harrier Museum in Beach Road. ~4.5km. Very High traffic expected. Best option: Auto.
114,RK Beach,Sea Harrier Museum,Beach Road,1.7,7 min,Rs.29,Rs.50,Rs.86,High,Rapido Bike,6:00-9:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from RK Beach to Sea Harrier Museum in Beach Road. ~1.7km. High traffic expected. Best option: Rapido Bike.
115,Rushikonda,Sea Harrier Museum,Beach Road,1.4,6 min,Rs.26,Rs.47,Rs.81,High,Rapido Bike,7:00-9:30 AM; 4:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Rushikonda to Sea Harrier Museum in Beach Road. ~1.4km. High traffic expected. Best option: Rapido Bike.
116,Lawson's Bay,Sea Harrier Museum,Beach Road,2.6,7 min,Rs.36,Rs.61,Rs.99,Moderate,Rapido Bike,7:30-9:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Lawson's Bay to Sea Harrier Museum in Beach Road. ~2.6km. Moderate traffic expected. Best option: Rapido Bike.
117,Hanumanthuwaka,Sea Harrier Museum,Beach Road,12.2,33 min,Rs.113,Rs.176,Rs.243,Moderate,Auto,8:00-10:00 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Hanumanthuwaka to Sea Harrier Museum in Beach Road. ~12.2km. Moderate traffic expected. Best option: Auto.
118,Arilova,Sea Harrier Museum,Beach Road,10.4,42 min,Rs.98,Rs.155,Rs.216,High,Auto,8:30-10:30 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Arilova to Sea Harrier Museum in Beach Road. ~10.4km. High traffic expected. Best option: Auto.
119,Beach Road,Sea Harrier Museum,Beach Road,2.7,11 min,Rs.37,Rs.62,Rs.100,High,Rapido Bike,6:30-9:00 AM; 5:30-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Beach Road to Sea Harrier Museum in Beach Road. ~2.7km. High traffic expected. Best option: Rapido Bike.
120,Kailasagiri,Sea Harrier Museum,Beach Road,1.9,5 min,Rs.30,Rs.53,Rs.88,Moderate,Rapido Bike,7:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,Naval Science College; Beach Road; INS Circars Gate,Travel from Kailasagiri to Sea Harrier Museum in Beach Road. ~1.9km. Moderate traffic expected. Best option: Rapido Bike.
121,Gajuwaka,UH-3H Helicopter Museum,Beach Road,16.6,33 min,Rs.148,Rs.229,Rs.309,Low,Auto,8:00-10:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Gajuwaka to UH-3H Helicopter Museum in Beach Road. ~16.6km. Low traffic expected. Best option: Auto.
122,Kommadi,UH-3H Helicopter Museum,Beach Road,13.3,53 min,Rs.121,Rs.190,Rs.260,High,Auto,8:30-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Kommadi to UH-3H Helicopter Museum in Beach Road. ~13.3km. High traffic expected. Best option: Auto.
123,Madhurawada,UH-3H Helicopter Museum,Beach Road,11.5,31 min,Rs.107,Rs.168,Rs.232,Moderate,Auto,8:00-10:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Madhurawada to UH-3H Helicopter Museum in Beach Road. ~11.5km. Moderate traffic expected. Best option: Auto.
124,PM Palem,UH-3H Helicopter Museum,Beach Road,9.1,25 min,Rs.88,Rs.139,Rs.196,Moderate,Rapido Bike,8:30-10:00 AM; 6:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from PM Palem to UH-3H Helicopter Museum in Beach Road. ~9.1km. Moderate traffic expected. Best option: Rapido Bike.
125,MVP Colony,UH-3H Helicopter Museum,Beach Road,6.5,26 min,Rs.67,Rs.108,Rs.158,High,Auto,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from MVP Colony to UH-3H Helicopter Museum in Beach Road. ~6.5km. High traffic expected. Best option: Auto.
126,Siripuram,UH-3H Helicopter Museum,Beach Road,6.1,37 min,Rs.64,Rs.103,Rs.152,Very High,Auto,9:00-11:30 AM; 6:30-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Siripuram to UH-3H Helicopter Museum in Beach Road. ~6.1km. Very High traffic expected. Best option: Auto.
127,Dwaraka Nagar,UH-3H Helicopter Museum,Beach Road,7.4,20 min,Rs.74,Rs.119,Rs.171,Moderate,Rapido Bike,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Dwaraka Nagar to UH-3H Helicopter Museum in Beach Road. ~7.4km. Moderate traffic expected. Best option: Rapido Bike.
128,Maddilapalem,UH-3H Helicopter Museum,Beach Road,8.1,16 min,Rs.80,Rs.127,Rs.182,Low,Rapido Bike,8:30-10:30 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Maddilapalem to UH-3H Helicopter Museum in Beach Road. ~8.1km. Low traffic expected. Best option: Rapido Bike.
129,NAD Junction,UH-3H Helicopter Museum,Beach Road,7.3,29 min,Rs.73,Rs.118,Rs.170,High,Auto,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from NAD Junction to UH-3H Helicopter Museum in Beach Road. ~7.3km. High traffic expected. Best option: Auto.
130,Seethammadhara,UH-3H Helicopter Museum,Beach Road,9.5,19 min,Rs.91,Rs.144,Rs.202,Low,Rapido Bike,9:00-11:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Seethammadhara to UH-3H Helicopter Museum in Beach Road. ~9.5km. Low traffic expected. Best option: Rapido Bike.
131,Jagadamba,UH-3H Helicopter Museum,Beach Road,4.9,13 min,Rs.54,Rs.89,Rs.134,Moderate,Rapido Bike,10:00 AM-12:00 PM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Jagadamba to UH-3H Helicopter Museum in Beach Road. ~4.9km. Moderate traffic expected. Best option: Rapido Bike.
132,Asilmetta,UH-3H Helicopter Museum,Beach Road,5.1,14 min,Rs.56,Rs.91,Rs.136,Moderate,Rapido Bike,9:00-11:30 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Asilmetta to UH-3H Helicopter Museum in Beach Road. ~5.1km. Moderate traffic expected. Best option: Rapido Bike.
133,Railway Station,UH-3H Helicopter Museum,Beach Road,3.1,19 min,Rs.40,Rs.67,Rs.106,Very High,Rapido Bike,7:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Railway Station to UH-3H Helicopter Museum in Beach Road. ~3.1km. Very High traffic expected. Best option: Rapido Bike.
134,RTC Complex,UH-3H Helicopter Museum,Beach Road,7.7,46 min,Rs.77,Rs.122,Rs.176,Very High,Auto,8:00-10:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from RTC Complex to UH-3H Helicopter Museum in Beach Road. ~7.7km. Very High traffic expected. Best option: Auto.
135,Airport,UH-3H Helicopter Museum,Beach Road,23.6,1h 34min,Rs.204,Rs.313,Rs.414,High,Cab,6:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Airport to UH-3H Helicopter Museum in Beach Road. ~23.6km. High traffic expected. Best option: Cab.
136,Pendurthi,UH-3H Helicopter Museum,Beach Road,14.2,39 min,Rs.129,Rs.200,Rs.273,Moderate,Auto,7:30-9:30 AM; 5:00-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Pendurthi to UH-3H Helicopter Museum in Beach Road. ~14.2km. Moderate traffic expected. Best option: Auto.
137,Gopalapatnam,UH-3H Helicopter Museum,Beach Road,17.6,35 min,Rs.156,Rs.241,Rs.324,Low,Auto,8:00-10:00 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Gopalapatnam to UH-3H Helicopter Museum in Beach Road. ~17.6km. Low traffic expected. Best option: Auto.
138,Kurmannapalem,UH-3H Helicopter Museum,Beach Road,21.2,1h 25min,Rs.185,Rs.284,Rs.378,High,Cab,8:00-9:30 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,INS Circars Gate; Beach Road; YMCA Ground,Travel from Kurmannapalem to UH-3H Helicopter Museum in Beach Road. ~21.2km. High traffic expected. Best option: Cab.
