walk_id,source_place,park_name,park_area,destination_landmark,walking_distance_km,estimated_walk_time_minutes,walking_direction_steps,starting_landmark,ending_landmark,road_name,route_type,safe_for_tourists,street_lighting,best_time_to_walk,crowd_level,scenic_walk,nearby_places_on_route,google_maps_walk_link,description
WLK-649,Seethammadhara,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Children Park Main Gate,1.4,17,1. Start at Seethammadhara Junction. 2. Head toward Akkayyapalem along Akkayyapalem Main Road. 3. Continue straight for approximately 1.4 km passing local landmarks. 4. Akkayyapalem Children Park entrance gate (Akkayyapalem Children Park Main Gate) is on your right.,Seethammadhara Junction,Akkayyapalem Children Park Main Gate,Akkayyapalem Main Road,Urban Road Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Moderate,No,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Children+Park+Visakhapatnam,"Walk from Seethammadhara to Akkayyapalem Children Park in Akkayyapalem, Visakhapatnam. Approx 1.4 km, takes about 17 minutes on foot via Akkayyapalem Main Road."
WLK-650,Siripuram,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Children Park Main Gate,4.8,60,"1. Start at Siripuram Circle. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 2.8 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Children Park entrance (Akkayyapalem Children Park Main Gate) is at the end of the approach road.",Siripuram Circle,Akkayyapalem Children Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,No,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Children+Park+Visakhapatnam,"Walk from Siripuram to Akkayyapalem Children Park in Akkayyapalem, Visakhapatnam. Approx 4.8 km, takes about 60 minutes on foot via Akkayyapalem Main Road."
WLK-651,Steel Plant,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Children Park Main Gate,7.6,95,"1. Start at Steel Plant Gate Bus Stop. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 5.6 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Children Park entrance (Akkayyapalem Children Park Main Gate) is at the end of the approach road.",Steel Plant Gate Bus Stop,Akkayyapalem Children Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Children+Park+Visakhapatnam,"Walk from Steel Plant to Akkayyapalem Children Park in Akkayyapalem, Visakhapatnam. Approx 7.6 km, takes about 95 minutes on foot via Akkayyapalem Main Road."
WLK-652,Simhachalam,Akkayyapalem Children Park,Akkayyapalem,Akkayyapalem Children Park Main Gate,4.0,50,"1. Start at Simhachalam Temple Junction. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 2.0 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Children Park entrance (Akkayyapalem Children Park Main Gate) is at the end of the approach road.",Simhachalam Temple Junction,Akkayyapalem Children Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,No,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Children+Park+Visakhapatnam,"Walk from Simhachalam to Akkayyapalem Children Park in Akkayyapalem, Visakhapatnam. Approx 4.0 km, takes about 50 minutes on foot via Akkayyapalem Main Road."
WLK-653,Airport,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,6.6,82,"1. Start at Visakhapatnam Airport Gate. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 4.6 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Visakhapatnam Airport Gate,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Airport to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 6.6 km, takes about 82 minutes on foot via Akkayyapalem Main Road."
WLK-654,Arilova,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,6.1,76,"1. Start at Arilova Bus Stop. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 4.1 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Arilova Bus Stop,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Arilova to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 6.1 km, takes about 76 minutes on foot via Akkayyapalem Main Road."
WLK-655,Asilmetta,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,4.0,50,"1. Start at Asilmetta Junction. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 2.0 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Asilmetta Junction,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,No,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Asilmetta to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 4.0 km, takes about 50 minutes on foot via Akkayyapalem Main Road."
WLK-656,Auto Nagar,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,9.1,113,"1. Start at Auto Nagar Junction. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 7.1 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Auto Nagar Junction,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Auto Nagar to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 9.1 km, takes about 113 minutes on foot via Akkayyapalem Main Road."
WLK-657,Beach Road,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,5.6,70,"1. Start at Beach Road Promenade. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 3.6 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Beach Road Promenade,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Beachside / Coastal Footpath,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Beach Road to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 5.6 km, takes about 70 minutes on foot via Akkayyapalem Main Road."
WLK-658,Dwaraka Nagar,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,3.5,43,"1. Start at Dwaraka Nagar Bus Stop. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 1.5 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Dwaraka Nagar Bus Stop,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,No,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Dwaraka Nagar to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 3.5 km, takes about 43 minutes on foot via Akkayyapalem Main Road."
WLK-659,Gajuwaka,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,8.8,110,"1. Start at Gajuwaka Junction. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 6.8 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Gajuwaka Junction,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Gajuwaka to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 8.8 km, takes about 110 minutes on foot via Akkayyapalem Main Road."
WLK-660,Gopalapatnam,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,6.8,85,"1. Start at Gopalapatnam Bus Stop. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 4.8 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Gopalapatnam Bus Stop,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Gopalapatnam to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 6.8 km, takes about 85 minutes on foot via Akkayyapalem Main Road."
WLK-661,Hanumanthuwaka,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,5.7,71,"1. Start at Hanumanthuwaka Bus Stop. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 3.7 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Hanumanthuwaka Bus Stop,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Hanumanthuwaka to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 5.7 km, takes about 71 minutes on foot via Akkayyapalem Main Road."
WLK-662,Jagadamba,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,3.7,46,"1. Start at Jagadamba Junction. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 1.7 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Jagadamba Junction,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,No,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Jagadamba to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 3.7 km, takes about 46 minutes on foot via Akkayyapalem Main Road."
WLK-663,Kailasagiri,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,6.9,86,"1. Start at Kailasagiri Ropeway Base Station. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 4.9 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Kailasagiri Ropeway Base Station,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Kailasagiri to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 6.9 km, takes about 86 minutes on foot via Akkayyapalem Main Road."
WLK-664,Kommadi,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,9.6,120,"1. Start at Kommadi Junction. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 7.6 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Kommadi Junction,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Kommadi to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 9.6 km, takes about 120 minutes on foot via Akkayyapalem Main Road."
WLK-665,Kurmannapalem,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,6.7,83,"1. Start at Kurmannapalem Junction. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 4.7 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Kurmannapalem Junction,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Kurmannapalem to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 6.7 km, takes about 83 minutes on foot via Akkayyapalem Main Road."
WLK-666,Lawson's Bay,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,6.2,77,"1. Start at Lawson's Bay Colony Junction. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 4.2 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Lawson's Bay Colony Junction,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Beachside / Coastal Footpath,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Lawson's Bay to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 6.2 km, takes about 77 minutes on foot via Akkayyapalem Main Road."
WLK-667,MVP Colony,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,0.9,11,1. Start at MVP Colony Sector 7 Junction. 2. Head toward Akkayyapalem along Akkayyapalem Main Road. 3. Continue straight for approximately 0.9 km passing local landmarks. 4. Akkayyapalem Mini Park entrance gate (Akkayyapalem Mini Park Main Gate) is on your right.,MVP Colony Sector 7 Junction,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Neighbourhood Footpath,Yes,Yes,06:00-09:00 and 17:00-20:00,Moderate,No,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from MVP Colony to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 0.9 km, takes about 11 minutes on foot via Akkayyapalem Main Road."
WLK-668,Maddilapalem,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,0.5,6,1. Start at Maddilapalem Junction. 2. Walk straight along Akkayyapalem Main Road toward Akkayyapalem. 3. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) will appear directly ahead within 500 metres.,Maddilapalem Junction,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Neighbourhood Footpath,Yes,Yes,06:00-09:00 and 17:00-20:00,Moderate,No,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Maddilapalem to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 0.5 km, takes about 6 minutes on foot via Akkayyapalem Main Road."
WLK-669,Madhurawada,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,11.3,141,"1. Start at Madhurawada Junction. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 9.3 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Madhurawada Junction,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Madhurawada to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 11.3 km, takes about 141 minutes on foot via Akkayyapalem Main Road."
WLK-670,NAD Junction,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,4.2,52,"1. Start at NAD Junction. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 2.2 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",NAD Junction,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,No,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from NAD Junction to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 4.2 km, takes about 52 minutes on foot via Akkayyapalem Main Road."
WLK-671,One Town,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,3.8,47,"1. Start at One Town Bus Stop. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 1.8 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",One Town Bus Stop,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,No,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from One Town to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 3.8 km, takes about 47 minutes on foot via Akkayyapalem Main Road."
WLK-672,PM Palem,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,11.4,142,"1. Start at PM Palem Bus Stop. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 9.4 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",PM Palem Bus Stop,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from PM Palem to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 11.4 km, takes about 142 minutes on foot via Akkayyapalem Main Road."
WLK-673,Pendurthi,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,10.2,127,"1. Start at Pendurthi Bus Stop. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 8.2 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Pendurthi Bus Stop,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Pendurthi to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 10.2 km, takes about 127 minutes on foot via Akkayyapalem Main Road."
WLK-674,Poorna Market,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,3.3,41,"1. Start at Poorna Market Junction. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 1.3 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Poorna Market Junction,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,No,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Poorna Market to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 3.3 km, takes about 41 minutes on foot via Akkayyapalem Main Road."
WLK-675,RK Beach,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,5.8,72,"1. Start at RK Beach Bus Stop / Submarine Museum. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 3.8 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",RK Beach Bus Stop / Submarine Museum,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Beachside / Coastal Footpath,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,Yes,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from RK Beach to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 5.8 km, takes about 72 minutes on foot via Akkayyapalem Main Road."
WLK-676,RTC Complex,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,3.5,43,"1. Start at RTC Complex Bus Stop. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 1.5 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",RTC Complex Bus Stop,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,No,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from RTC Complex to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 3.5 km, takes about 43 minutes on foot via Akkayyapalem Main Road."
WLK-677,Railway Station,Akkayyapalem Mini Park,Akkayyapalem,Akkayyapalem Mini Park Main Gate,3.1,38,"1. Start at Visakhapatnam Railway Station. 2. Head to the main road and follow signs toward Akkayyapalem. 3. Walk along Akkayyapalem Main Road for the first 2 km passing key junctions. 4. Continue for another 1.1 km following Akkayyapalem direction boards. 5. On reaching Akkayyapalem, follow the approach path. 6. Akkayyapalem Mini Park entrance (Akkayyapalem Mini Park Main Gate) is at the end of the approach road.",Visakhapatnam Railway Station,Akkayyapalem Mini Park Main Gate,Akkayyapalem Main Road,Mixed Road / Footpath Walk,Yes,Yes,06:00-09:00 and 17:00-20:00,Low,No,"Akkayyapalem Market, Seethammadhara, MVP Colony",https://maps.google.com/?q=Akkayyapalem+Mini+Park+Visakhapatnam,"Walk from Railway Station to Akkayyapalem Mini Park in Akkayyapalem, Visakhapatnam. Approx 3.1 km, takes about 38 minutes on foot via Akkayyapalem Main Road."
