"route_id,source_area,hospital_name,hospital_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,emergency_friendly,tourist_friendly,description"
"VZG00001,Gajuwaka,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28,City Bus,""Gajuwaka Junction, Gajuwaka Market, Hospital Zone"",1.5,9 mins,Rs.10,05:30,22:00,10,0.3,No,No,""APSRTC bus 28 from Gajuwaka to 4S Multispeciality Hospital in Gajuwaka. Passes through Gajuwaka, Major Junction, Gajuwaka. Approx 1.5 km, 9 mins."""
"VZG01164,RK Beach,Sri Vaishnavi Nursing Home Kommadi,Kommadi,Kommadi Junction,28RK,Express,""RK Beach, Siripuram, NAD Junction, Kommadi"",25.8,82 mins,Rs.35,05:30,22:00,30,0.8,No,No,""APSRTC bus 28RK from RK Beach to Sri Vaishnavi Nursing Home Kommadi in Kommadi. Passes through RK Beach, Major Junction, Kommadi. Approx 25.8 km, 82 mins."""
"VZG01165,Rushikonda,Sri Vaishnavi Nursing Home Kommadi,Kommadi,Kommadi Junction,99R,Semi-Express,""Rushikonda, Kommadi, NAD Junction, Kommadi"",12.4,42 mins,Rs.20,06:00,21:00,20,0.5,No,No,""APSRTC bus 99R from Rushikonda to Sri Vaishnavi Nursing Home Kommadi in Kommadi. Passes through Rushikonda, Major Junction, Kommadi. Approx 12.4 km, 42 mins."""
"VZG01166,Lawson's Bay,Sri Vaishnavi Nursing Home Kommadi,Kommadi,Kommadi Junction,28LB,Semi-Express,""Lawson's Bay, Siripuram, NAD Junction, Kommadi"",17.2,56 mins,Rs.25,06:00,21:00,30,0.8,No,No,""APSRTC bus 28LB from Lawson's Bay to Sri Vaishnavi Nursing Home Kommadi in Kommadi. Passes through Lawson's Bay, Major Junction, Kommadi. Approx 17.2 km, 56 mins."""
"VZG01167,Hanumanthuwaka,Sri Vaishnavi Nursing Home Kommadi,Kommadi,Kommadi Junction,28H,Express,""Hanumanthuwaka, Madhavadhara, NAD Junction, Kommadi"",44.2,137 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28H from Hanumanthuwaka to Sri Vaishnavi Nursing Home Kommadi in Kommadi. Passes through Hanumanthuwaka, Major Junction, Kommadi. Approx 44.2 km, 137 mins."""
"VZG01168,Arilova,Sri Vaishnavi Nursing Home Kommadi,Kommadi,Kommadi Junction,99AR,City Bus,""Arilova, NAD Junction, Kommadi"",6.2,23 mins,Rs.15,05:30,22:00,15,0.5,No,No,""APSRTC bus 99AR from Arilova to Sri Vaishnavi Nursing Home Kommadi in Kommadi. Passes through Arilova, Major Junction, Kommadi. Approx 6.2 km, 23 mins."""
"VZG01169,Beach Road,Sri Vaishnavi Nursing Home Kommadi,Kommadi,Kommadi Junction,28BR,Express,""Beach Road, Siripuram, NAD Junction, Kommadi"",25.8,82 mins,Rs.35,05:30,22:00,30,0.8,No,No,""APSRTC bus 28BR from Beach Road to Sri Vaishnavi Nursing Home Kommadi in Kommadi. Passes through Beach Road, Major Junction, Kommadi. Approx 25.8 km, 82 mins."""
"VZG01170,Kailasagiri,Sri Vaishnavi Nursing Home Kommadi,Kommadi,Kommadi Junction,28KG,Express,""Kailasagiri, RK Beach, NAD Junction, Kommadi"",20.8,67 mins,Rs.30,06:00,21:00,30,0.8,No,No,""APSRTC bus 28KG from Kailasagiri to Sri Vaishnavi Nursing Home Kommadi in Kommadi. Passes through Kailasagiri, Major Junction, Kommadi. Approx 20.8 km, 67 mins."""
"VZG01171,Gajuwaka,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28,Semi-Express,""Gajuwaka, NAD Junction, Bhimli Road, Kommadi"",12.4,42 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 28 from Gajuwaka to Mahesh Poly Clinic in Kommadi. Passes through Gajuwaka, Major Junction, Kommadi. Approx 12.4 km, 42 mins."""
"VZG01172,Kommadi,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,99,City Bus,""Kommadi Junction, Kommadi Market"",1.5,9 mins,Rs.10,05:30,22:00,10,0.3,No,No,""APSRTC bus 99 from Kommadi to Mahesh Poly Clinic in Kommadi. Passes through Kommadi, Major Junction, Kommadi. Approx 1.5 km, 9 mins."""
"VZG01173,Madhurawada,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,99,City Bus,""Madhurawada, Kommadi Junction"",4.9,19 mins,Rs.10,05:30,22:00,15,0.3,No,No,""APSRTC bus 99 from Madhurawada to Mahesh Poly Clinic in Kommadi. Passes through Madhurawada, Major Junction, Kommadi. Approx 4.9 km, 19 mins."""
"VZG01174,PM Palem,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,99,City Bus,""PM Palem, Madhurawada, NAD Junction, Kommadi"",9.1,32 mins,Rs.15,05:30,22:00,20,0.5,No,No,""APSRTC bus 99 from PM Palem to Mahesh Poly Clinic in Kommadi. Passes through PM Palem, Major Junction, Kommadi. Approx 9.1 km, 32 mins."""
"VZG01175,MVP Colony,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28,Express,""MVP Colony, Seethammadhara, NAD Junction, Kommadi"",29.4,93 mins,Rs.35,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from MVP Colony to Mahesh Poly Clinic in Kommadi. Passes through MVP Colony, Major Junction, Kommadi. Approx 29.4 km, 93 mins."""
"VZG01176,Siripuram,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28,Express,""Siripuram, Jagadamba, NAD Junction, Kommadi"",28.9,91 mins,Rs.35,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Siripuram to Mahesh Poly Clinic in Kommadi. Passes through Siripuram, Major Junction, Kommadi. Approx 28.9 km, 91 mins."""
"VZG01177,Dwaraka Nagar,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28,Express,""Dwaraka Nagar, Jagadamba, NAD Junction, Kommadi"",31.1,98 mins,Rs.35,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Dwaraka Nagar to Mahesh Poly Clinic in Kommadi. Passes through Dwaraka Nagar, Major Junction, Kommadi. Approx 31.1 km, 98 mins."""
"VZG01178,Maddilapalem,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28,Express,""Maddilapalem, Seethammadhara, NAD Junction, Kommadi"",33.7,106 mins,Rs.35,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Maddilapalem to Mahesh Poly Clinic in Kommadi. Passes through Maddilapalem, Major Junction, Kommadi. Approx 33.7 km, 106 mins."""
"VZG01179,NAD Junction,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,39,Semi-Express,""NAD Junction, Dondaparthy, NAD Junction, Kommadi"",11.0,38 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 39 from NAD Junction to Mahesh Poly Clinic in Kommadi. Passes through NAD Junction, Major Junction, Kommadi. Approx 11.0 km, 38 mins."""
"VZG01180,Seethammadhara,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28,Express,""Seethammadhara, Dondaparthy, NAD Junction, Kommadi"",38.0,119 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Seethammadhara to Mahesh Poly Clinic in Kommadi. Passes through Seethammadhara, Major Junction, Kommadi. Approx 38.0 km, 119 mins."""
"VZG01181,Jagadamba,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28,Express,""Jagadamba, Siripuram, NAD Junction, Kommadi"",35.3,110 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Jagadamba to Mahesh Poly Clinic in Kommadi. Passes through Jagadamba, Major Junction, Kommadi. Approx 35.3 km, 110 mins."""
"VZG01182,Asilmetta,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28,Express,""Asilmetta, Jagadamba, NAD Junction, Kommadi"",35.2,110 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Asilmetta to Mahesh Poly Clinic in Kommadi. Passes through Asilmetta, Major Junction, Kommadi. Approx 35.2 km, 110 mins."""
"VZG01183,Railway Station,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28,Express,""Railway Station, RTC Complex, NAD Junction, Kommadi"",35.5,111 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Railway Station to Mahesh Poly Clinic in Kommadi. Passes through Railway Station, Major Junction, Kommadi. Approx 35.5 km, 111 mins."""
"VZG01184,RTC Complex,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28,Express,""RTC Complex, Jagadamba, NAD Junction, Kommadi"",35.3,110 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from RTC Complex to Mahesh Poly Clinic in Kommadi. Passes through RTC Complex, Major Junction, Kommadi. Approx 35.3 km, 110 mins."""
"VZG01185,Airport,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,38A,City Bus,""Airport, Bhimli Road, NAD Junction, Kommadi"",1.5,9 mins,Rs.10,05:30,22:00,10,0.3,No,No,""APSRTC bus 38A from Airport to Mahesh Poly Clinic in Kommadi. Passes through Airport, Major Junction, Kommadi. Approx 1.5 km, 9 mins."""
"VZG01186,Pendurthi,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,39P,Semi-Express,""Pendurthi, Marripalem, NAD Junction, Kommadi"",13.4,45 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 39P from Pendurthi to Mahesh Poly Clinic in Kommadi. Passes through Pendurthi, Major Junction, Kommadi. Approx 13.4 km, 45 mins."""
"VZG01187,Gopalapatnam,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,39G,City Bus,""Gopalapatnam, NAD Junction, Kommadi"",7.9,28 mins,Rs.15,05:30,22:00,15,0.5,No,No,""APSRTC bus 39G from Gopalapatnam to Mahesh Poly Clinic in Kommadi. Passes through Gopalapatnam, Major Junction, Kommadi. Approx 7.9 km, 28 mins."""
"VZG01188,Kurmannapalem,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,39KN,City Bus,""Kurmannapalem, NAD Junction, Kommadi"",7.0,26 mins,Rs.15,05:30,22:00,15,0.5,No,No,""APSRTC bus 39KN from Kurmannapalem to Mahesh Poly Clinic in Kommadi. Passes through Kurmannapalem, Major Junction, Kommadi. Approx 7.0 km, 26 mins."""
"VZG01189,Auto Nagar,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,400,City Bus,""Auto Nagar, Kancharapalem, NAD Junction, Kommadi"",8.8,31 mins,Rs.15,05:30,22:00,20,0.5,No,No,""APSRTC bus 400 from Auto Nagar to Mahesh Poly Clinic in Kommadi. Passes through Auto Nagar, Major Junction, Kommadi. Approx 8.8 km, 31 mins."""
"VZG01190,Steel Plant,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,400,City Bus,""Steel Plant, Gajuwaka, NAD Junction, Kommadi"",9.8,34 mins,Rs.15,05:30,22:00,20,0.5,No,No,""APSRTC bus 400 from Steel Plant to Mahesh Poly Clinic in Kommadi. Passes through Steel Plant, Major Junction, Kommadi. Approx 9.8 km, 34 mins."""
"VZG01191,Scindia,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28SC,Express,""Scindia, One Town, NAD Junction, Kommadi"",37.7,118 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28SC from Scindia to Mahesh Poly Clinic in Kommadi. Passes through Scindia, Major Junction, Kommadi. Approx 37.7 km, 118 mins."""
"VZG01192,One Town,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28OT,Express,""One Town, RTC Complex, NAD Junction, Kommadi"",38.0,119 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28OT from One Town to Mahesh Poly Clinic in Kommadi. Passes through One Town, Major Junction, Kommadi. Approx 38.0 km, 119 mins."""
"VZG01193,Poorna Market,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28PM,Express,""Poorna Market, One Town, NAD Junction, Kommadi"",39.8,124 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28PM from Poorna Market to Mahesh Poly Clinic in Kommadi. Passes through Poorna Market, Major Junction, Kommadi. Approx 39.8 km, 124 mins."""
"VZG01194,RK Beach,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28RK,Express,""RK Beach, Siripuram, NAD Junction, Kommadi"",25.8,82 mins,Rs.35,05:30,22:00,30,0.8,No,No,""APSRTC bus 28RK from RK Beach to Mahesh Poly Clinic in Kommadi. Passes through RK Beach, Major Junction, Kommadi. Approx 25.8 km, 82 mins."""
"VZG01195,Rushikonda,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,99R,Semi-Express,""Rushikonda, Kommadi, NAD Junction, Kommadi"",12.4,42 mins,Rs.20,06:00,21:00,20,0.5,No,No,""APSRTC bus 99R from Rushikonda to Mahesh Poly Clinic in Kommadi. Passes through Rushikonda, Major Junction, Kommadi. Approx 12.4 km, 42 mins."""
"VZG01196,Lawson's Bay,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28LB,Semi-Express,""Lawson's Bay, Siripuram, NAD Junction, Kommadi"",17.2,56 mins,Rs.25,06:00,21:00,30,0.8,No,No,""APSRTC bus 28LB from Lawson's Bay to Mahesh Poly Clinic in Kommadi. Passes through Lawson's Bay, Major Junction, Kommadi. Approx 17.2 km, 56 mins."""
"VZG01197,Hanumanthuwaka,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28H,Express,""Hanumanthuwaka, Madhavadhara, NAD Junction, Kommadi"",44.2,137 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28H from Hanumanthuwaka to Mahesh Poly Clinic in Kommadi. Passes through Hanumanthuwaka, Major Junction, Kommadi. Approx 44.2 km, 137 mins."""
"VZG01198,Arilova,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,99AR,City Bus,""Arilova, NAD Junction, Kommadi"",6.2,23 mins,Rs.15,05:30,22:00,15,0.5,No,No,""APSRTC bus 99AR from Arilova to Mahesh Poly Clinic in Kommadi. Passes through Arilova, Major Junction, Kommadi. Approx 6.2 km, 23 mins."""
"VZG01199,Beach Road,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28BR,Express,""Beach Road, Siripuram, NAD Junction, Kommadi"",25.8,82 mins,Rs.35,05:30,22:00,30,0.8,No,No,""APSRTC bus 28BR from Beach Road to Mahesh Poly Clinic in Kommadi. Passes through Beach Road, Major Junction, Kommadi. Approx 25.8 km, 82 mins."""
"VZG01200,Kailasagiri,Mahesh Poly Clinic,Kommadi,Kommadi Bus Stop,28KG,Express,""Kailasagiri, RK Beach, NAD Junction, Kommadi"",20.8,67 mins,Rs.30,06:00,21:00,30,0.8,No,No,""APSRTC bus 28KG from Kailasagiri to Mahesh Poly Clinic in Kommadi. Passes through Kailasagiri, Major Junction, Kommadi. Approx 20.8 km, 67 mins."""
"VZG01201,Gajuwaka,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28,Semi-Express,""Gajuwaka, NAD Junction, Bhimli Road, Kommadi"",12.4,42 mins,Rs.20,05:30,22:00,20,0.5,Yes,No,""APSRTC bus 28 from Gajuwaka to V Care And Cure Polyclinic in Kommadi. Passes through Gajuwaka, Major Junction, Kommadi. Approx 12.4 km, 42 mins."""
"VZG01202,Kommadi,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,99,City Bus,""Kommadi Junction, Kommadi Market"",1.5,9 mins,Rs.10,05:30,22:00,10,0.3,Yes,No,""APSRTC bus 99 from Kommadi to V Care And Cure Polyclinic in Kommadi. Passes through Kommadi, Major Junction, Kommadi. Approx 1.5 km, 9 mins."""
"VZG01203,Madhurawada,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,99,City Bus,""Madhurawada, Kommadi Junction"",4.9,19 mins,Rs.10,05:30,22:00,15,0.3,Yes,No,""APSRTC bus 99 from Madhurawada to V Care And Cure Polyclinic in Kommadi. Passes through Madhurawada, Major Junction, Kommadi. Approx 4.9 km, 19 mins."""
"VZG01204,PM Palem,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,99,City Bus,""PM Palem, Madhurawada, NAD Junction, Kommadi"",9.1,32 mins,Rs.15,05:30,22:00,20,0.5,Yes,No,""APSRTC bus 99 from PM Palem to V Care And Cure Polyclinic in Kommadi. Passes through PM Palem, Major Junction, Kommadi. Approx 9.1 km, 32 mins."""
"VZG01205,MVP Colony,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28,Express,""MVP Colony, Seethammadhara, NAD Junction, Kommadi"",29.4,93 mins,Rs.35,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28 from MVP Colony to V Care And Cure Polyclinic in Kommadi. Passes through MVP Colony, Major Junction, Kommadi. Approx 29.4 km, 93 mins."""
"VZG01206,Siripuram,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28,Express,""Siripuram, Jagadamba, NAD Junction, Kommadi"",28.9,91 mins,Rs.35,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28 from Siripuram to V Care And Cure Polyclinic in Kommadi. Passes through Siripuram, Major Junction, Kommadi. Approx 28.9 km, 91 mins."""
"VZG01207,Dwaraka Nagar,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28,Express,""Dwaraka Nagar, Jagadamba, NAD Junction, Kommadi"",31.1,98 mins,Rs.35,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28 from Dwaraka Nagar to V Care And Cure Polyclinic in Kommadi. Passes through Dwaraka Nagar, Major Junction, Kommadi. Approx 31.1 km, 98 mins."""
"VZG01208,Maddilapalem,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28,Express,""Maddilapalem, Seethammadhara, NAD Junction, Kommadi"",33.7,106 mins,Rs.35,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28 from Maddilapalem to V Care And Cure Polyclinic in Kommadi. Passes through Maddilapalem, Major Junction, Kommadi. Approx 33.7 km, 106 mins."""
"VZG01209,NAD Junction,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,39,Semi-Express,""NAD Junction, Dondaparthy, NAD Junction, Kommadi"",11.0,38 mins,Rs.20,05:30,22:00,20,0.5,Yes,No,""APSRTC bus 39 from NAD Junction to V Care And Cure Polyclinic in Kommadi. Passes through NAD Junction, Major Junction, Kommadi. Approx 11.0 km, 38 mins."""
"VZG01210,Seethammadhara,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28,Express,""Seethammadhara, Dondaparthy, NAD Junction, Kommadi"",38.0,119 mins,Rs.40,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28 from Seethammadhara to V Care And Cure Polyclinic in Kommadi. Passes through Seethammadhara, Major Junction, Kommadi. Approx 38.0 km, 119 mins."""
"VZG01211,Jagadamba,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28,Express,""Jagadamba, Siripuram, NAD Junction, Kommadi"",35.3,110 mins,Rs.40,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28 from Jagadamba to V Care And Cure Polyclinic in Kommadi. Passes through Jagadamba, Major Junction, Kommadi. Approx 35.3 km, 110 mins."""
"VZG01212,Asilmetta,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28,Express,""Asilmetta, Jagadamba, NAD Junction, Kommadi"",35.2,110 mins,Rs.40,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28 from Asilmetta to V Care And Cure Polyclinic in Kommadi. Passes through Asilmetta, Major Junction, Kommadi. Approx 35.2 km, 110 mins."""
"VZG01213,Railway Station,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28,Express,""Railway Station, RTC Complex, NAD Junction, Kommadi"",35.5,111 mins,Rs.40,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28 from Railway Station to V Care And Cure Polyclinic in Kommadi. Passes through Railway Station, Major Junction, Kommadi. Approx 35.5 km, 111 mins."""
"VZG01214,RTC Complex,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28,Express,""RTC Complex, Jagadamba, NAD Junction, Kommadi"",35.3,110 mins,Rs.40,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28 from RTC Complex to V Care And Cure Polyclinic in Kommadi. Passes through RTC Complex, Major Junction, Kommadi. Approx 35.3 km, 110 mins."""
"VZG01215,Airport,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,38A,City Bus,""Airport, Bhimli Road, NAD Junction, Kommadi"",1.5,9 mins,Rs.10,05:30,22:00,10,0.3,Yes,No,""APSRTC bus 38A from Airport to V Care And Cure Polyclinic in Kommadi. Passes through Airport, Major Junction, Kommadi. Approx 1.5 km, 9 mins."""
"VZG01216,Pendurthi,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,39P,Semi-Express,""Pendurthi, Marripalem, NAD Junction, Kommadi"",13.4,45 mins,Rs.20,05:30,22:00,20,0.5,Yes,No,""APSRTC bus 39P from Pendurthi to V Care And Cure Polyclinic in Kommadi. Passes through Pendurthi, Major Junction, Kommadi. Approx 13.4 km, 45 mins."""
"VZG01217,Gopalapatnam,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,39G,City Bus,""Gopalapatnam, NAD Junction, Kommadi"",7.9,28 mins,Rs.15,05:30,22:00,15,0.5,Yes,No,""APSRTC bus 39G from Gopalapatnam to V Care And Cure Polyclinic in Kommadi. Passes through Gopalapatnam, Major Junction, Kommadi. Approx 7.9 km, 28 mins."""
"VZG01218,Kurmannapalem,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,39KN,City Bus,""Kurmannapalem, NAD Junction, Kommadi"",7.0,26 mins,Rs.15,05:30,22:00,15,0.5,Yes,No,""APSRTC bus 39KN from Kurmannapalem to V Care And Cure Polyclinic in Kommadi. Passes through Kurmannapalem, Major Junction, Kommadi. Approx 7.0 km, 26 mins."""
"VZG01219,Auto Nagar,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,400,City Bus,""Auto Nagar, Kancharapalem, NAD Junction, Kommadi"",8.8,31 mins,Rs.15,05:30,22:00,20,0.5,Yes,No,""APSRTC bus 400 from Auto Nagar to V Care And Cure Polyclinic in Kommadi. Passes through Auto Nagar, Major Junction, Kommadi. Approx 8.8 km, 31 mins."""
"VZG01220,Steel Plant,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,400,City Bus,""Steel Plant, Gajuwaka, NAD Junction, Kommadi"",9.8,34 mins,Rs.15,05:30,22:00,20,0.5,Yes,No,""APSRTC bus 400 from Steel Plant to V Care And Cure Polyclinic in Kommadi. Passes through Steel Plant, Major Junction, Kommadi. Approx 9.8 km, 34 mins."""
"VZG01221,Scindia,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28SC,Express,""Scindia, One Town, NAD Junction, Kommadi"",37.7,118 mins,Rs.40,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28SC from Scindia to V Care And Cure Polyclinic in Kommadi. Passes through Scindia, Major Junction, Kommadi. Approx 37.7 km, 118 mins."""
"VZG01222,One Town,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28OT,Express,""One Town, RTC Complex, NAD Junction, Kommadi"",38.0,119 mins,Rs.40,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28OT from One Town to V Care And Cure Polyclinic in Kommadi. Passes through One Town, Major Junction, Kommadi. Approx 38.0 km, 119 mins."""
"VZG01223,Poorna Market,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28PM,Express,""Poorna Market, One Town, NAD Junction, Kommadi"",39.8,124 mins,Rs.40,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28PM from Poorna Market to V Care And Cure Polyclinic in Kommadi. Passes through Poorna Market, Major Junction, Kommadi. Approx 39.8 km, 124 mins."""
"VZG01224,RK Beach,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28RK,Express,""RK Beach, Siripuram, NAD Junction, Kommadi"",25.8,82 mins,Rs.35,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28RK from RK Beach to V Care And Cure Polyclinic in Kommadi. Passes through RK Beach, Major Junction, Kommadi. Approx 25.8 km, 82 mins."""
"VZG01225,Rushikonda,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,99R,Semi-Express,""Rushikonda, Kommadi, NAD Junction, Kommadi"",12.4,42 mins,Rs.20,06:00,21:00,20,0.5,Yes,No,""APSRTC bus 99R from Rushikonda to V Care And Cure Polyclinic in Kommadi. Passes through Rushikonda, Major Junction, Kommadi. Approx 12.4 km, 42 mins."""
"VZG01226,Lawson's Bay,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28LB,Semi-Express,""Lawson's Bay, Siripuram, NAD Junction, Kommadi"",17.2,56 mins,Rs.25,06:00,21:00,30,0.8,Partial,No,""APSRTC bus 28LB from Lawson's Bay to V Care And Cure Polyclinic in Kommadi. Passes through Lawson's Bay, Major Junction, Kommadi. Approx 17.2 km, 56 mins."""
"VZG01227,Hanumanthuwaka,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28H,Express,""Hanumanthuwaka, Madhavadhara, NAD Junction, Kommadi"",44.2,137 mins,Rs.40,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28H from Hanumanthuwaka to V Care And Cure Polyclinic in Kommadi. Passes through Hanumanthuwaka, Major Junction, Kommadi. Approx 44.2 km, 137 mins."""
"VZG01228,Arilova,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,99AR,City Bus,""Arilova, NAD Junction, Kommadi"",6.2,23 mins,Rs.15,05:30,22:00,15,0.5,Yes,No,""APSRTC bus 99AR from Arilova to V Care And Cure Polyclinic in Kommadi. Passes through Arilova, Major Junction, Kommadi. Approx 6.2 km, 23 mins."""
"VZG01229,Beach Road,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28BR,Express,""Beach Road, Siripuram, NAD Junction, Kommadi"",25.8,82 mins,Rs.35,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28BR from Beach Road to V Care And Cure Polyclinic in Kommadi. Passes through Beach Road, Major Junction, Kommadi. Approx 25.8 km, 82 mins."""
"VZG01230,Kailasagiri,V Care And Cure Polyclinic,Kommadi,Kommadi Junction,28KG,Express,""Kailasagiri, RK Beach, NAD Junction, Kommadi"",20.8,67 mins,Rs.30,06:00,21:00,30,0.8,Partial,No,""APSRTC bus 28KG from Kailasagiri to V Care And Cure Polyclinic in Kommadi. Passes through Kailasagiri, Major Junction, Kommadi. Approx 20.8 km, 67 mins."""
"VZG01231,Gajuwaka,Gitam Hospital,Madhurawada,Madhurawada Junction,28,Semi-Express,""Gajuwaka, Steel Plant, NAD Junction, Madhurawada"",11.8,40 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 28 from Gajuwaka to Gitam Hospital in Madhurawada. Passes through Gajuwaka, Major Junction, Madhurawada. Approx 11.8 km, 40 mins."""
"VZG01232,Kommadi,Gitam Hospital,Madhurawada,Madhurawada Junction,99,City Bus,""Kommadi, Madhurawada Junction"",4.9,19 mins,Rs.10,05:30,22:00,15,0.3,No,No,""APSRTC bus 99 from Kommadi to Gitam Hospital in Madhurawada. Passes through Kommadi, Major Junction, Madhurawada. Approx 4.9 km, 19 mins."""
"VZG01233,Madhurawada,Gitam Hospital,Madhurawada,Madhurawada Junction,99,City Bus,""Madhurawada Junction, Madhurawada Market"",1.5,9 mins,Rs.10,05:30,22:00,10,0.3,No,No,""APSRTC bus 99 from Madhurawada to Gitam Hospital in Madhurawada. Passes through Madhurawada, Major Junction, Madhurawada. Approx 1.5 km, 9 mins."""
