Restaurant Name,Address,City,Category,Rating,Reviews Count,Speciality,Budget Min (INR),Budget Max (INR),Expected Budget Range
Ayki Recipes,p8g5+f52,Visakhapatnam,Fast food restaurant,4.0,1,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Chitti Babu Kodi Pulao,"p8g2+vff, railway new colony rd",Visakhapatnam,Restaurant,3.6,158,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Haps Resto Cafe,"post office down, 50-57-5, beside v t high school",Visakhapatnam,Pizza restaurant,4.4,60,"Pizzas, pasta, garlic bread & Italian-style fast food",150,600,Rs.150 - Rs.600 per person
Lunch Box Dwaraka Vizag,"1st floor, potluri castle, 48/12/9","Vijayawada, Visakhapatnam",Delivery Restaurant,2.0,24,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Rohhotel,"48-7-66, behind boy london showroom",Visakhapatnam,Hotel,4.3,1377,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Gajalakshmi Toffins,p8m5+33q,Visakhapatnam,Breakfast restaurant,5.0,1,"Morning breakfast specials: tiffins, parathas & hot beverages",40,180,Rs.40 - Rs.180 per person
Pradeep Fast Food,"seethampet, main rd",Visakhapatnam,Fast food restaurant,,0,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Tejal Fast Food Center,"do no 50, seethamapeta, 81, d.sangeetha, 53, seethammapeta main rd",Visakhapatnam,Fast food restaurant,3.5,2,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
??? ?????? ??????,,Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Gunturu Mess Homely Meals With The True Guntur Flavor.,"50-2-1, main rd, seethammapeta main rd",Visakhapatnam,Restaurant,5.0,1,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Welldone Chicken Centre,"seethammapeta main rd, dwaraka nagar",Visakhapatnam,Chicken restaurant,3.6,17,"Grilled chicken, kebabs, chicken curries & tandoor items",120,500,Rs.120 - Rs.500 per person
???? ?????? ??????,,Visakhapatnam,Restaurant,4.7,3,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Sathwik Fast Foods,"p8j4+mm8, seethammapeta main rd",Visakhapatnam,Fast food restaurant,4.8,5,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
?????? ??????,,Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
2K Biryanis,"main rd, opp. durga ganapathi temple",Visakhapatnam,Biryani restaurant,4.5,10,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Idli Dosa Corner,"vrc complex, 47/15/14/2, rajaji marg",Visakhapatnam,Breakfast restaurant,5.0,3,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Kaka Hyderabad Dum Biryani,,Visakhapatnam,Restaurant,,0,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Varun Pulka Kitchen,p8j4+jpj,Visakhapatnam,Indian restaurant,4.3,4,"Indian cuisine with rice, curries, dals & traditional meals",100,400,Rs.100 - Rs.400 per person
Bucket Biryani,"50-81-35/4, seethammapeta main rd",Visakhapatnam,Biryani restaurant,1.0,1,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Tea Stall,"p8m6+f75, srihariveedhi sethammapeta",Visakhapatnam,Restaurant,5.0,1,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Crazy Biryani,akkayyapalem main rd,Visakhapatnam,Fast food restaurant,2.6,5,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Ocean Curry Point,"p7px+pg3, akkayyapalem 80 feet rd",Visakhapatnam,Fast food restaurant,5.0,6,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Sri Harsha Hotel,"door no. 50-61-48, seethammapetha main rd",Visakhapatnam,Indian restaurant,3.5,111,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Ahaa Kitchen,p8p4+9wm gurudwara,Visakhapatnam,Restaurant,4.1,11,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Hotel Anupama Grand,diamond park jct,Visakhapatnam,Restaurant,3.6,18,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Rajasthan Sharma Bhojanalaya,"door number. 32-1-45/1, allipuram karnala st, beside gokul theatre",Visakhapatnam,Rajasthani restaurant,4.1,625,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Biryani Dabba Restaurant,"g2sai dakshita complex, opposite to waltair club road",Visakhapatnam,Biryani restaurant,2.4,18,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Ashoka Restaurant,"30-13-11, leelamahal up rd",Visakhapatnam,Biryani restaurant,3.7,1154,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Swadham Restaurant,"33-14-81, main road, main rd",Visakhapatnam,Restaurant,3.8,37,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
As Downtown Inn Restaurant(Visakhapatnam),ranga st,Visakhapatnam,Chinese restaurant,5.0,2,"Indo-Chinese dishes: fried rice, noodles, manchurian & soups",100,350,Rs.100 - Rs.350 per person
Zeeshan Restaurant - Apna Hyderabadi Food,"no 2810, ground floor and 1st floor door, 3, chitralaya rd, opp chitralaya theater",Visakhapatnam,Hyderabadi restaurant,3.8,7856,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Dakshin Restaurant,"hotel daspalla, daspalla hotel, 28-2-48",Visakhapatnam,South Indian restaurant,3.9,787,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
My Kup,"p8g8+ggg, vip rd, opp. vizag central",Visakhapatnam,Cafe,4.9,14,"Cafe beverages, snacks, light meals & desserts",80,350,Rs.80 - Rs.350 per person
Heritage Restaurant,"ground floor, 9-14, 7, vip rd",Visakhapatnam,South Indian restaurant,3.9,5068,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
New Bharat Cafe,allipuram karnala street opposite gokul theatre,Visakhapatnam,Cafe,4.3,28,"Cafe beverages, snacks, light meals & desserts",80,350,Rs.80 - Rs.350 per person
Mombay Restaurant,"ranga st, beside nellore vari mess",Visakhapatnam,Family restaurant,3.4,245,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Barbeque Nation,"4rd floor, d. no 10-50-12, sripuram, 9-block, waltair main rd, opposite governor bungalow, beside reliance trends",Visakhapatnam,Barbecue restaurant,4.4,10086,"Cocktails, mocktails, beverages & bar snacks",300,1200,Rs.300 - Rs.1200 per person
Swami Tiffins,cpt ramarao jn geet sangeet,Visakhapatnam,Fast food restaurant,,0,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Maa Nethi Vindu,p895+6gh,Visakhapatnam,South Indian restaurant,3.8,906,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Hotel Maa Nethi Vindu,"10-32-2, ramanagar road",Visakhapatnam,South Indian restaurant,3.8,7197,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Sns Kitchen,"32-10-61, atchiyyammapeta, masjid road",Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Pani Puri Centre,"gokul theater, near gokul theater",Visakhapatnam,Fast food restaurant,,0,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Karthik Tea Stall,ram kobbarithota,Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Sree Sai Ganesh Parlour,"p872+f43, raja rammohan roy rd",Visakhapatnam,Breakfast restaurant,4.0,368,"Morning breakfast specials: tiffins, parathas & hot beverages",40,180,Rs.40 - Rs.180 per person
Violet Tree - The Kitchen,"31-4-79, amorite street",Visakhapatnam,Indian restaurant,4.2,6,"Indian cuisine with rice, curries, dals & traditional meals",100,400,Rs.100 - Rs.400 per person
Siri Fast Food & Tiffin Centre,allipuram karnala st,Visakhapatnam,Restaurant,5.0,1,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Padma Tiffen Shop,allipuram market rd,Visakhapatnam,Tiffin center,5.0,1,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Skml Royal Kitchen,bowdara rd,Visakhapatnam,Fast food restaurant,4.0,13,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Barbecue City Kabab,"32-26-53, geet sangeet theater road, near, dolphin hotel jct",Visakhapatnam,Restaurant,4.9,47,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
NammiS Food Junction,"33-14-5, allipuram market rd",Visakhapatnam,Family restaurant,5.0,1,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Dolphin Hotel,"75 feet road, dolphin hotel jct",Visakhapatnam,Hotel,4.4,15647,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Vizag Star Grand Multicuisine Family Restaurant,"@ hotel sowbhagya, old jail road or, cmr rd, beside sbi bank",Visakhapatnam,Restaurant,3.7,347,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Keerthana Restaurant,"p895+3jp, waltair main rd",Visakhapatnam,Restaurant,4.0,35,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Upland Bistro,"10-26-1/1, opposite to waltair club road",Visakhapatnam,Continental restaurant,4.2,3284,"Continental & Italian cuisine: pasta, grills, salads & mocktails",200,800,Rs.200 - Rs.800 per person
Star Lucky Reastaurant,"jagadamba commercial complex, chitralaya rd",Visakhapatnam,Biryani restaurant,4.3,97,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Zamindari Restaurant,"near, nowroji rd",Visakhapatnam,South Indian restaurant,4.4,3623,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Madeena Biryani House,"p78v+pc3, bowdara rd",Visakhapatnam,Restaurant,,0,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Ganapati Family Restaurant,"31-32-74, beside jothee theatre ladies gate, behind dolphin hotel",Visakhapatnam,Indian restaurant,4.1,688,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Sweet India,"30-15,154, daba garden rd",Visakhapatnam,Restaurant,4.2,2020,"Fresh baked goods, cakes, pastries, cookies & sweets",50,300,Rs.50 - Rs.300 per person
Jai Jagannath Restaurant,"d.no, jai jaganath restaurant, 10-53-303, main rd, opposite to seven hills hospital",Visakhapatnam,Chinese restaurant,4.3,1722,"Indo-Chinese dishes: fried rice, noodles, manchurian & soups",100,350,Rs.100 - Rs.350 per person
Horizon Restaurant,"7th floor, dolphin hotel, 75 feet road, daba garden rd",Visakhapatnam,Restaurant,4.3,1936,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Tycoon Multi-Cuisine Restaurant,waltair main rd,Visakhapatnam,Eclectic restaurant,3.9,2703,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Star Annapurna Restaurant,"5, suryabagh",Visakhapatnam,Restaurant,4.5,205,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Red Bowl- Pan Asian Kitchen,"novotel, rk beach rd",Visakhapatnam,Restaurant,4.8,407,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Bombay Restaurant- Jyothi Theatre,"31-32-75 gantasala marg ladies gate, beside, jothee theatre rd",Visakhapatnam,Family restaurant,3.9,5017,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Venkatadri Vantillu,"8-1-6, waltair main rd, opp. au campus",Visakhapatnam,South Indian restaurant,3.9,6953,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Eatasian,"first floor no. 9, 29-13",Visakhapatnam,Restaurant,4.5,19,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
District 12 Resto Cafe,"7-5-138, panduranga swamy temple rd",Visakhapatnam,Continental restaurant,4.3,1418,"Continental & Italian cuisine: pasta, grills, salads & mocktails",200,800,Rs.200 - Rs.800 per person
Beach Royal Fast Food Kolkata Famous Kathi Rools,"rk beach rd, opp. sit, near submarine",Visakhapatnam,Restaurant,3.8,5,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Indian Tandoori,"p88f+3vf ocean view extension, 5, beach rd",Visakhapatnam,Restaurant,3.3,6,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Just Eat,rk beach,Visakhapatnam,Restaurant,4.9,13,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Arts College Canteen Sai Canteen,"p8cc+rmg, dr br ambedkar assembly hall rd",Visakhapatnam,Restaurant,4.8,5,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Kailash Pav Bhaji Caterers,"beach rd, near swimming pool",Visakhapatnam,Fast food restaurant,4.0,43,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
G Silver Spoon Restaurant,"p88f+4xv, unnamed road",Visakhapatnam,Restaurant,3.2,79,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Rss Royal Biryani,rk beach,Visakhapatnam,Restaurant,5.0,5,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Dash Pan Shop And Tea Stall,"4, bowdara rd, opp. srmt",Visakhapatnam,Family restaurant,4.7,14,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Millee Box Kitchen,"36, beach rd",Visakhapatnam,Breakfast restaurant,4.9,27,"Morning breakfast specials: tiffins, parathas & hot beverages",40,180,Rs.40 - Rs.180 per person
Sea Park Food Court,p88g+px2 rk beach,Visakhapatnam,Restaurant,3.8,2664,Multi-cuisine food court with quick bites & combo meals,80,300,Rs.80 - Rs.300 per person
Landmark Hotel,"31-29-103, dolphin hotel jct, beside geet sangeet theatre",Visakhapatnam,Hotel,3.9,678,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Jaganath Restaurant,"back of dolphin hotel, 31-32-35",Visakhapatnam,Restaurant,5.0,2,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Zaffran,beach rd,Visakhapatnam,Restaurant,4.2,1386,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Sai Siddharth Restaurant,"14, kgh down rd",Visakhapatnam,Restaurant,3.0,2,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Pizza Story,,Visakhapatnam,Food court,4.6,22,"Pizzas, pasta, garlic bread & Italian-style fast food",150,600,Rs.150 - Rs.600 per person
Sri Durga Ganga Bhavani Chicken Pokodi,port road port road,Visakhapatnam,Fast food restaurant,5.0,1,"Grilled chicken, kebabs, chicken curries & tandoor items",120,500,Rs.120 - Rs.500 per person
Hotel Winsar Park,"18, collector's office road",Visakhapatnam,Hotel,4.5,1878,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Sri Sai Geetha Biryani House,"p856+m48, zilla parishad road",Visakhapatnam,Biryani restaurant,3.5,100,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Banarasi Special Food,"p857+pxm, beach rd",Visakhapatnam,Restaurant,5.0,3,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Zoom Restaurant And Bar,"15-18-17, beach rd, opp gokul park",Visakhapatnam,Bar,3.6,1990,"Cocktails, mocktails, beverages & bar snacks",300,1200,Rs.300 - Rs.1200 per person
Sea Pearl,"varun beach, rk beach rd, near novotel, beside children's park",Visakhapatnam,Fast food restaurant,4.1,3055,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Welcomcafe Oceanic Restaurant,"welcomhotel grand bay, beach rd",Visakhapatnam,Family restaurant,4.7,1592,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Pop Up Cafe & Restaurant,"beach rd, gokul park parking, opposite novotel hotel",Visakhapatnam,Coffee shop,4.6,426,"Cafe beverages, snacks, light meals & desserts",80,350,Rs.80 - Rs.350 per person
Varun'S Eat Restaurant (Varun Beach Inox),"century club, i st. floor, varun inox building, b.p",Visakhapatnam,North Indian restaurant,4.4,2560,"North Indian curries, roti, dal makhani, paneer dishes & lassi",120,450,Rs.120 - Rs.450 per person
Bengal By The Bay,"10-2-8, siripuram cir",Visakhapatnam,Bengali restaurant,3.8,4,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Mayuri Restaurant,"p869+r8p, beach rd",Visakhapatnam,Family restaurant,3.4,100,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Pani Puri Shop,"30-15-35, vip rd, near saraswati park",Visakhapatnam,Fast food restaurant,4.2,6,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Kamat Restaurant.,"vuda complex, waltair club rd",Visakhapatnam,Andhra restaurant,3.7,3460,"Authentic Andhra meals, spicy curries, rice dishes & chutneys",80,300,Rs.80 - Rs.300 per person
Sam'S Griddle,"3rd floor, srikanya canopy, opp, waltair club",Visakhapatnam,American restaurant,4.2,4241,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Waltair Kitchen - Restaurant,"hotel pl grand, siripuram cir, opp. bubbles salon",Visakhapatnam,North Indian restaurant,4.1,462,"North Indian curries, roti, dal makhani, paneer dishes & lassi",120,450,Rs.120 - Rs.450 per person
Radisa,"rs, waltair main rd",Visakhapatnam,Restaurant,4.6,137,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Hare Krishna Restaurant Kgh Branch,"hare krishna restaurant (kgh branch, kgh up rd, beside subham medicals",Visakhapatnam,Restaurant,4.5,32,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Bengalore Taste,"d.no : 9, 14-12, vip rd",Visakhapatnam,Restaurant,4.8,6,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
The Square,beach rd,Visakhapatnam,Restaurant,4.5,1386,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
The Orange Hotels,"saraswathi, saraswati park jct",Visakhapatnam,Hotel,4.7,429,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Roast And Grill,p884+5gw,Visakhapatnam,Restaurant,4.5,16,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Myz - Uno Vizag,"central building, 4, vip rd",Visakhapatnam,Brewery,4.4,11778,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Bhavani Biryani Point,"judge court, cmr rd",Visakhapatnam,Fast food restaurant,,0,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Priya Food Centre,"building d, no:30-8-43, bhanu st, beside chennai shopping mall",Visakhapatnam,Fast food restaurant,5.0,5,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Kailash Pavbhaji Center,"29-13-37/1, near center point hotel, beside lakshmi home appliances",Visakhapatnam,Fast food restaurant,4.0,74,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Mega 'S 555,p87f+m3r,Visakhapatnam,Fast food restaurant,3.6,17,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Anagani'S Amrutha Hotel,"sarada st, beside center point hotel, behind bata showroom",Visakhapatnam,Restaurant,4.8,33,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Pastry Coffee N' Conversation,"shop 21, siripuram cir",Visakhapatnam,Cafe,4.1,238,"Cafe beverages, snacks, light meals & desserts",80,350,Rs.80 - Rs.350 per person
Indian Fast Foods,"p73x+gx4, avn college rd",Visakhapatnam,Fast food restaurant,4.5,2,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Bismillah Biryani Centre,,Visakhapatnam,Biryani restaurant,4.3,71,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Smoky Docky Visakhapatnam,"p8cg+mv7 smoky docky, chinna waltair main rd",Visakhapatnam,Shawarma restaurant,4.1,157,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Chai Sutta Bar,"aircraft museum, tu 142, rk beach rd",Visakhapatnam,Continental restaurant,3.9,459,"Continental & Italian cuisine: pasta, grills, salads & mocktails",200,800,Rs.200 - Rs.800 per person
Mowa Hot N Spicy,"chengalaraopeta, bharath petrol pump, fishing harbour",Visakhapatnam,Fast food restaurant,5.0,1,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Skml Tiffins Center,"25, town kotha rd",Visakhapatnam,Breakfast restaurant,4.8,6,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Sri Pravallika Parlour,"26-15-17, kotha road, main road",Visakhapatnam,Fast food restaurant,4.2,47,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Kerala Bhavan,"door no.26, 1-63, town kotha rd, near bowadara market",Visakhapatnam,Restaurant,5.0,1,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Vizagapatam Family Restaurant,m7xx+2h3,Visakhapatnam,Family restaurant,4.1,26,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Sri Siva Sai Restaurant,"darshan towers, no 28-15-18, town kotha rd",Visakhapatnam,Restaurant,4.0,2,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Dessertino Shakes And More - Beach Road,"shop no. 3 & 4, sea shore apartment, beach rd",Visakhapatnam,Dessert shop,4.7,1159,"Ice creams, sundaes, desserts & frozen treats",60,250,Rs.60 - Rs.250 per person
Venkateswara Bar And Resturant,p73w+23x,Visakhapatnam,Restaurant,3.7,12,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Navayuga Restaurant & Bar,"23b, chitralaya rd, near indian oil petrol bunk",Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Pavani Tiffins And Fast Food,"p882+3ff, ranga st",Visakhapatnam,Restaurant,,0,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Guntur Nawab'S Biryani,leelamahal rd,Visakhapatnam,Biryani restaurant,,0,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Mr. Chef'S,"p862+xch, chitralaya rd",Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Saahil Cooking & Catering,"p75x+g5q, raja rammohan roy rd",Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Sri Sampath Tiffin,"st.anthony high school, 02",Visakhapatnam,Restaurant,,0,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Msk Fast Foods,jagadamba centre,Visakhapatnam,Restaurant,5.0,1,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Ifc - Indian Fried Crispies,"melody theatre street, d.no.28-10-14/4, near d mart , revenue ward 27, opposite ravindra icecreams & cooldrinks",Visakhapatnam,Chicken restaurant,3.7,3,"Grilled chicken, kebabs, chicken curries & tandoor items",120,500,Rs.120 - Rs.500 per person
Bismillah Biryani Point,p77x+j92,Visakhapatnam,Biryani restaurant,3.0,1,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Skl Ramesh Vantasala,"29-252/1, jail rd",Visakhapatnam,Restaurant,4.8,11,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Madurai Kitchen,"krishnanjali towers, near varun motors",Visakhapatnam,South Indian restaurant,4.0,278,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Krishna'S Kitchen,opp. office of the commissioner of police,Visakhapatnam,Takeout Restaurant,,0,"Quick takeaway meals, combos & packaged food",80,300,Rs.80 - Rs.300 per person
Bismillah Chicken Center,"p863+f74, main rd",Visakhapatnam,Restaurant,4.0,1,"Grilled chicken, kebabs, chicken curries & tandoor items",120,500,Rs.120 - Rs.500 per person
G,p857+qv4,Visakhapatnam,American restaurant,3.5,2,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Happy Eat Restaurant,"dno 10-40-17/2, waltair main rd",Visakhapatnam,Restaurant,4.4,17,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Bhavani Pan Shop,p832+785 bhavani pan shop,Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Janapriya Restaurant,,Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
New Srinivasa Chicken Centre,"p74w+cg9, unnamed road",Visakhapatnam,Chicken restaurant,,0,"Grilled chicken, kebabs, chicken curries & tandoor items",120,500,Rs.120 - Rs.500 per person
Food World,m7wx+xj2,Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
R K Chiken,"22-51-4, town hall st",Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
